ene, dsp, sxy, tpi,, emt, fit^2, , , poly^2, , , fit^3, , , , poly^3, , , , 
70,1,5,0.001,3.14,0.0157,1.20E+01,-1.75E-03,3.20E-06,3.20E-06,-1.75E-03,1.20E+01,1.19E+01,-1.10E-03,2.39E-06,2.69E-10,2.69E-10,2.39E-06,-1.10E-03,1.19E+01,
70,1,5,0.01,2.5,0.125,1.22E+01,-2.50E-04,2.47E-06,2.47E-06,-2.50E-04,1.22E+01,1.20E+01,7.89E-04,1.17E-06,4.34E-10,4.34E-10,1.17E-06,7.89E-04,1.20E+01,
70,1,5,0.01,3,0.15,1.19E+01,-4.72E-04,2.78E-06,2.78E-06,-4.72E-04,1.19E+01,1.15E+01,1.96E-03,-2.60E-07,1.01E-09,1.01E-09,-2.60E-07,1.96E-03,1.15E+01,
70,1,5,0.01,3.14,0.157,1.15E+01,-2.24E-04,2.47E-06,2.47E-06,-2.24E-04,1.15E+01,1.13E+01,7.24E-04,1.28E-06,3.96E-10,3.96E-10,1.28E-06,7.24E-04,1.13E+01,
70,1,5,0.1,2.5,1.25,1.27E+01,-2.20E-03,3.56E-06,3.56E-06,-2.20E-03,1.27E+01,1.27E+01,-1.74E-03,2.98E-06,1.93E-10,1.93E-10,2.98E-06,-1.74E-03,1.27E+01,
70,1,5,0.1,3,1.5,1.34E+01,-1.18E-03,3.12E-06,3.12E-06,-1.18E-03,1.34E+01,1.32E+01,-4.08E-04,2.16E-06,3.23E-10,3.23E-10,2.16E-06,-4.08E-04,1.32E+01,
70,1,5,0.1,3.14,1.57,1.17E+01,-6.00E-04,3.34E-06,3.34E-06,-6.00E-04,1.17E+01,1.18E+01,-9.76E-04,3.81E-06,-1.57E-10,1.57E-10,3.81E-06,-9.76E-04,1.18E+01,
70,1.5,3,0.001,2.5,0.0075,7.17E+00,-6.06E-04,4.04E-06,4.04E-06,-6.06E-04,7.17E+00,7.34E+00,-1.59E-03,5.27E-06,-4.12E-10,4.12E-10,5.27E-06,-1.59E-03,7.34E+00,
70,1.5,3,0.001,3,0.009,7.40E+00,-1.20E-03,3.57E-06,3.57E-06,-1.20E-03,7.40E+00,7.58E+00,-2.28E-03,4.93E-06,-4.51E-10,4.51E-10,4.93E-06,-2.28E-03,7.58E+00,
70,1.5,3,0.001,3.14,0.00942,7.65E+00,-1.73E-03,4.40E-06,4.40E-06,-1.73E-03,7.65E+00,7.49E+00,-8.26E-04,3.27E-06,3.78E-10,3.78E-10,3.27E-06,-8.26E-04,7.49E+00,
70,1.5,3,0.01,2.5,0.075,7.70E+00,-2.37E-03,4.27E-06,4.27E-06,-2.37E-03,7.70E+00,7.67E+00,-2.20E-03,4.05E-06,7.32E-11,7.32E-11,4.05E-06,-2.20E-03,7.67E+00,
70,1.5,3,0.01,3,0.09,7.50E+00,-1.36E-03,4.13E-06,4.13E-06,-1.36E-03,7.50E+00,7.72E+00,-2.65E-03,5.74E-06,-5.38E-10,5.38E-10,5.74E-06,-2.65E-03,7.72E+00,
70,1.5,3,0.01,3.14,0.0942,7.57E+00,-1.88E-03,4.06E-06,4.06E-06,-1.88E-03,7.57E+00,7.29E+00,-1.76E-04,1.93E-06,7.12E-10,7.12E-10,1.93E-06,-1.76E-04,7.29E+00,
70,1.5,3,0.1,2.5,0.75,7.51E+00,-2.81E-03,4.83E-06,4.83E-06,-2.81E-03,7.51E+00,7.53E+00,-2.89E-03,4.93E-06,-3.26E-11,3.26E-11,4.93E-06,-2.89E-03,7.53E+00,
70,1.5,3,0.1,3,0.9,7.11E+00,-1.58E-03,4.47E-06,4.47E-06,-1.58E-03,7.11E+00,7.51E+00,-3.97E-03,7.46E-06,-9.95E-10,9.95E-10,7.46E-06,-3.97E-03,7.51E+00,
70,1.5,3,0.1,3.14,0.942,7.13E+00,-1.03E-03,4.35E-06,4.35E-06,-1.03E-03,7.13E+00,7.43E+00,-2.78E-03,6.55E-06,-7.32E-10,7.32E-10,6.55E-06,-2.78E-03,7.43E+00,
70,1.5,4,0.001,2.5,0.01,9.90E+00,-1.09E-03,3.58E-06,3.58E-06,-1.09E-03,9.90E+00,9.75E+00,-1.65E-04,2.42E-06,3.88E-10,3.88E-10,2.42E-06,-1.65E-04,9.75E+00,
70,1.5,4,0.001,3,0.012,9.86E+00,-1.19E-03,3.60E-06,3.60E-06,-1.19E-03,9.86E+00,9.79E+00,-7.72E-04,3.08E-06,1.73E-10,1.73E-10,3.08E-06,-7.72E-04,9.79E+00,
