,,,,,,,X,,,,,,,Y,
Energy,Dispersion,SigmaXY,ThetaPhi,Emittance,Focus,Plane,FWHM X,mean X,stdev X,FWHM Y,mean Y,stdev Y
157.141,1.335,3.682,6.594,72.8355,negative,2,12.017545723612638,50.003444271743376,5.103425226606352,12.03721985568294,50.1302460024784,5.111780132360685,
195.932,1.106,3.585,6.19,2.21927,negative,1,12.649302695671143,49.908311268631856,5.371709994764371,12.839814204722394,50.0508652625712,5.45261347236385,
195.932,1.106,3.585,6.19,33.28902,positive,2,-4.928446447044676,50.02622896736389,-2.0929363203009497,4.880335890695834,49.99492786254954,2.072505474221095,
98.736,1.311,4.31,8.414,3.62628,positive,3,-1.9050820778583504,50.03448337930773,-0.8090207566920122,1.9161870593515709,50.05463777293093,0.8137366482722825,
157.141,1.335,3.682,6.594,12.13925,negative,1,-12.974701703183168,50.03545824479346,-5.509895406481726,12.976925462015585,50.037484956550465,5.510839757947845,
69.395,1.081,4.983,10.331,51.48227,positive,1,6.6990148745142,50.0599619812106,2.8448339028852554,6.694941598135136,50.023211376590055,2.8431041269471446,
157.141,1.335,3.682,6.594,2.42785,negative,1,13.14695181029158,50.005751550500875,5.583043914681323,13.145713835324294,50.14431920436269,5.582518190642218,
195.932,1.106,3.585,6.19,2.21927,positive,2,3.582051054009733,50.07260422794518,1.5211699736749333,3.415452624900028,50.0432522306797,1.4504215325717802,
127.977,1.382,3.898,7.24,84.65321,positive,1,-9.104293503416793,50.02912127808863,-3.8662703853477125,9.21267764375585,49.999881911768064,3.9122972837420797,
195.932,1.106,3.585,6.19,44.38536,negative,4,-15.727229090513992,49.95652553407407,-6.6787961145379615,15.951511508031963,49.90581953202209,6.774040898603688,
195.932,1.106,3.585,6.19,66.57804,negative,3,12.988701958992602,50.32310326736698,5.515840818325379,12.920965349068585,50.00870205369137,5.487075483722008,
127.977,1.382,3.898,7.24,14.10887,positive,1,5.4236638241175035,50.061705195367765,2.3032375675715575,5.343813472157579,50.05721225999818,2.2693279565812716,
157.141,1.335,3.682,6.594,12.13925,negative,2,14.155856629749378,50.301029220266294,6.011489990550951,14.58228619957858,49.90385510727274,6.192579497018252,
