,,,,,,,X,,,,,,,Y,
Energy,Dispersion,SigmaXY,ThetaPhi,Emittance,Focus,Plane,FWHM X,mean X,stdev X,FWHM Y,mean Y,stdev Y
157.141,1.335,0.01,3.0,0.093,positive,4,4.332244416363131,50.05191667445849,1.8397504740798074,4.286970269746503,50.04574588621003,1.8205241505633187,
98.736,1.311,0.01,7.0,0.21,positive,3,-7.815891688511261,49.90577773414851,-3.319131853453058,-8.321882511149779,49.90929592680822,-3.5340082007600553,
195.932,1.106,1.0,0.01,0.02,positive,4,-2.6743211613642712,50.04779640715035,-1.1356892990335787,-2.660484054426997,50.05889337940352,-1.1298131707265997,
98.736,1.311,15.0,0.01,0.15,positive,3,36.26130176632555,50.01925355848363,15.398888129066398,36.16399301370995,50.03608112713453,15.357564554828413,
127.977,1.382,11.0,0.01,0.165,positive,5,27.17334722083715,50.14961401698071,11.539556319363491,26.516679876748068,49.85215560476293,11.260693000147812,
69.395,1.081,0.01,11.0,0.341,positive,5,17.91666587136741,50.06783704228349,7.608572223274762,17.88607444878259,50.018816884317815,7.595581131638607,
69.395,1.081,15.0,0.01,0.465,positive,1,36.12023646664715,49.861864536004354,15.338982701990465,36.34890895604937,49.965512334465714,15.436091793803877,
127.977,1.382,1.0,0.01,0.001,positive,5,3.1195526090920365,50.04696383618284,1.3247632958603859,3.1589251477544336,50.07292926892051,1.3414834158970756,
195.932,1.106,0.01,15.0,0.3,positive,4,19.942988728488874,49.91866959534717,8.469079636694783,20.116181625904634,49.98914812728923,8.542628514483027,
98.736,1.311,0.01,0.1,0.001,positive,3,-1.3564890299153123,50.04979229517813,-0.5760527560367387,-1.3644925002357657,50.0492875804369,-0.5794515458789561,
98.736,1.311,0.01,0.1,0.002,positive,4,-1.8260641163466982,50.05266897875841,-0.7754646323877604,-1.8463026471604234,50.05148541312468,-0.784059218260754,
69.395,1.081,0.01,3.0,0.003,positive,4,4.911079596897638,50.0565263118503,2.0855612353056046,4.899239349381985,50.0565295785248,2.080533102336498,
234.635,0.666,7.0,0.01,0.07,positive,5,16.869412805330306,50.02506452735174,7.163841007869163,17.35354545469887,50.09201163069025,7.369434964624966,
195.932,1.106,0.01,11.0,0.11,positive,3,12.392433521391553,49.908733217335886,5.262626771441971,12.255726802747327,50.03158054120354,5.204572279067151,
157.141,1.335,1.0,0.01,0.001,positive,3,2.631525198195158,50.051574726929935,1.1175153720889919,2.6093365082552973,50.0482770487944,1.1080926228364605,
157.141,1.335,0.01,7.0,0.007,positive,3,-7.921842684890794,50.05694504763229,-3.3641254819478483,-7.840189793792786,50.07060457074736,-3.3294503965486606,
98.736,1.311,0.1,0.01,0.002,positive,1,0.600285515909954,50.04900837100653,0.25491995749530916,-0.5972544174872709,50.04910997192759,-0.2536327575536228,
98.736,1.311,0.01,1.0,0.005,positive,1,-0.8217020642669197,50.04839405177283,-0.3489477086236282,-0.8158367193496956,50.05000773077397,-0.3464569047688532,
127.977,1.382,15.0,0.01,0.225,positive,4,36.53269825925736,50.1699280893437,15.514140589118973,36.77749925881837,50.06292416282203,15.618098886877174,
98.736,1.311,1.0,0.01,0.031,positive,4,3.1636880340002644,50.064171206636054,1.3435060446748193,3.1759923957284557,50.051524935765755,1.3487312704809138,
157.141,1.335,11.0,0.01,0.011,positive,3,27.033370941492233,50.10298166166535,11.480113360579342,27.02371688771561,50.05453627107178,11.476013626514188,
127.977,1.382,0.1,0.01,0.001,positive,5,-1.8687869804878208,50.04506808236515,-0.7936075167690763,-1.8555556617403839,50.05323584255919,-0.7879886452099473,
234.635,0.666,11.0,0.01,0.341,positive,5,26.64346028191797,50.04924042489688,11.314532139424992,27.235204602669228,49.960304133001635,11.56582495442043,
127.977,1.382,0.01,3.0,0.06,positive,5,-5.190297594218302,50.064975072063646,-2.204135210726305,-5.174349723399181,50.060864875110724,-2.1973627158990916,
234.635,0.666,7.0,0.01,0.035,positive,3,17.00532545393894,50.09966087698798,7.221558286877416,17.173239216459805,50.00699453542345,7.292865303405727,
234.635,0.666,0.01,0.1,0.001,positive,5,1.0321139607289063,50.04986706865121,0.4383021745918576,1.0344221148558135,50.05095643075985,0.43928236574478235,
